ID,SwitchName,Port,Status,SystemName_Port,SystemWWN,AirRackName,AirRackPort
1,L1-DCX-126AJ-SW01_VS50,B01_00,ISL,L1-8000-126AQ-SW42_FC_00,20:00:00:05:33:2C:13:00,126AM_AIR/62AG_MDA,N_P01
2,L1-DCX-126AJ-SW01_VS50,B01_01,ISL,L1-8000-126AQ-SW42_FC_01,20:01:00:05:33:2C:13:00,126AM_AIR/62AG_MDA,N_P02
3,L1-DCX-126AJ-SW01_VS50,B01_02,ISL,L1-8000-126AQ-SW42_FC_02,20:02:00:05:33:2C:13:00,126AM_AIR/62AG_MDA,N_P03
4,L1-DCX-126AJ-SW01_VS50,B01_03,ISL,L1-8000-126AQ-SW42_FC_03,20:03:00:05:33:2C:13:00,126AM_AIR/62AG_MDA,N_P04
5,L1-DCX-126AJ-SW01_VS50,B01_04,Online,OLHN1_01_04,50:00:09:73:98:09:CC:04,126AZ_AIR/62 AJ_MDA,A_P01
6,L1-DCX-126AJ-SW01_VS50,B01_05,Online,OFFN1_02_04,50:00:09:73:A8:13:34:44,132AM_AIR/62AH_MDA,E_P05
7,L1-DCX-126AJ-SW01_VS50,B01_06,RITM0399526,ODCN1_01_07,50:00:09:73:A0:05:E8:07,126AE_AIR/62AG_MDA,C_P10
8,L1-DCX-126AJ-SW01_VS50,B01_07,RITM0399526,ODCN1_03_07,50:00:09:73:A0:05:E8:87,126AE_AIR/62AG_MDA,C_P11
9,L1-DCX-126AJ-SW01_VS50,B01_08,RITM0399526,OLHN1_01_06,50:00:09:73:98:09:CC:06,126AZ_AIR/62 AJ_MDA,B_P09
10,L1-DCX-126AJ-SW01_VS50,B01_09,RITM0399526,OLHN1_01_07,50:00:09:73:98:09:CC:07,126AZ_AIR/62 AJ_MDA,B_P10
11,L1-DCX-126AJ-SW01_VS50,B01_10,Online,OTKN1_05G_P0,50:00:09:72:08:36:A9:90,132AE_AIR/62AH_MDA,A_P02
12,L1-DCX-126AJ-SW01_VS50,B01_11,Online,OLCN1_01_04,50:00:09:73:98:02:84:04,132AZ_AIR/62 AI_MDA,A_P11
13,L1-DCX-126AJ-SW01_VS50,B01_12,Online,OLCN1_01_05,50:00:09:73:98:02:84:05,132AZ_AIR/62 AI_MDA,A_P12
14,L1-DCX-126AJ-SW01_VS50,B01_13,RITM0486577,OWAN1_04_05,50:00:09:73:B0:01:44:C5,132AZ_AIR/62 AI_MDA,F_P01
15,L1-DCX-126AJ-SW01_VS50,B01_14,RITM0491449,ODCN1_03_04,50:00:09:73:A0:05:E8:84,126AE_AIR/62AG_MDA,B_P05
16,L1-DCX-126AJ-SW01_VS50,B01_15,Online,OFGN1_02_05,50:00:09:73:A8:1A:24:45,132AE_AIR/62AH_MDA,A_P08
17,L1-DCX-126AJ-SW01_VS50,B01_16,Online,DQAF3053_S5_P0,10:00:00:90:FA:A9:87:50,146AE_AIR/62AH_MDA,I_P07
18,L1-DCX-126AJ-SW01_VS50,B01_17,Online,DQAF3053_S5_P1,10:00:00:90:FA:A9:87:51,146AE_AIR/62AH_MDA,I_P08
19,L1-DCX-126AJ-SW01_VS50,B01_18,RITM0399526,OLHN1_02_06,50:00:09:73:98:09:CC:46,126AZ_AIR/62 AJ_MDA,B_P11
20,L1-DCX-126AJ-SW01_VS50,B01_19,RITM0364698,DQAI055_S0_P1,21:00:00:24:FF:3E:93:BC,146AM_AIR/62AH_MDA,B_P05
21,L1-DCX-126AJ-SW01_VS50,B01_20,RITM0364698,DQAI055_S0_P2,21:00:00:24:FF:3E:93:BD,146AM_AIR/62AH_MDA,B_P06
22,L1-DCX-126AJ-SW01_VS50,B01_21,RITM0364698,DQAI055_S3_P1,21:00:00:24:FF:3E:93:7E,146AM_AIR/62AH_MDA,B_P07
23,L1-DCX-126AJ-SW01_VS50,B01_22,RITM0364698,DQAI055_S3_P2,21:00:00:24:FF:3E:93:7F,146AM_AIR/62AH_MDA,B_P08
24,L1-DCX-126AJ-SW01_VS50,B01_23,Online,DQAI121_S3_P0,10:00:00:90:FA:A0:2D:68,146AM_AIR/62AH_MDA,H_P06
25,L1-DCX-126AJ-SW01_VS50,B01_24,Online,DQAF3047_S2_P1,21:00:00:24:FF:3E:93:DC,146AM_AIR/62AH_MDA,G_P03
26,L1-DCX-126AJ-SW01_VS50,B01_25,Online,DQAJ092_S2_P1,57:CC:95:A0:00:20:94:67,142AM_AIR/62AH_MDA,A_P03
27,L1-DCX-126AJ-SW01_VS50,B01_26,Online,DQAI075_S1_P0,10:00:00:90:FA:07:A1:94,142AZ_AIR/62 AI_MDA,A_P03
28,L1-DCX-126AJ-SW01_VS50,B01_27,Online,DQAI075_S3_P0,10:00:00:90:FA:05:10:28,142AZ_AIR/62 AI_MDA,A_P07
29,L1-DCX-126AJ-SW01_VS50,B01_28,Online,DQAI097_S5_P0,10:00:00:90:FA:1C:DF:66,142AZ_AIR/62 AI_MDA,A_P11
30,L1-DCX-126AJ-SW01_VS50,B01_29,Online,DQAF0108_S1_P0,10:00:00:90:FA:53:F3:B0,146AE_AIR/62AH_MDA,A_P03
31,L1-DCX-126AJ-SW01_VS50,B01_30,Online,DQAF0108_S6_P0,10:00:00:90:FA:53:FD:30,146AE_AIR/62AH_MDA,A_P07
32,L1-DCX-126AJ-SW01_VS50,B01_31,Online,DQAH143_S4_P0,10:00:00:90:FA:53:F3:78,146AE_AIR/62AH_MDA,A_P11
33,L1-DCX-126AJ-SW01_VS50,B01_32,Online,DQAF3053_S1_P0,10:00:00:00:C9:BC:01:66,146AE_AIR/62AH_MDA,B_P03
34,L1-DCX-126AJ-SW01_VS50,B01_33,Online,DQAF3053_S3_P0,10:00:00:00:C9:D2:54:BA,146AE_AIR/62AH_MDA,B_P07
35,L1-DCX-126AJ-SW01_VS50,B01_34,Online,DQAI160_S2_P0,10:00:00:00:C9:F3:AC:AA,146AE_AIR/62AH_MDA,B_P11
36,L1-DCX-126AJ-SW01_VS50,B01_35,Online,DQAI160_S4_P0,10:00:00:00:C9:F3:AC:B6,146AE_AIR/62AH_MDA,C_P03
37,L1-DCX-126AJ-SW01_VS50,B01_36,RITM0312525,DQAF0108_S4_P0,10:00:00:90:fa:53:fb:bc,146AE_AIR/62AH_MDA,C_P05
38,L1-DCX-126AJ-SW01_VS50,B01_37,RITM0312525,DQAF0108_S4_P1,10:00:00:90:fa:53:fb:bd,146AE_AIR/62AH_MDA,C_P06
39,L1-DCX-126AJ-SW01_VS50,B01_38,Online,DQAI021_S4_P0,10:00:00:00:C9:A3:31:B6,146AM_AIR/62AH_MDA,A_P03
40,L1-DCX-126AJ-SW01_VS50,B01_39,Online,DQAF3047_S1_P1,21:00:00:24:FF:3E:93:7A,146AM_AIR/62AH_MDA,A_P07
41,L1-DCX-126AJ-SW01_VS50,B01_40,Online,DQAI135_S1_P1,50:01:43:80:09:AD:E1:C4,146AM_AIR/62AH_MDA,A_P11
42,L1-DCX-126AJ-SW01_VS50,B01_41,Online,OFGN1_01_04,50:00:09:73:A8:1A:24:04,132AE_AIR/62AH_MDA,A_P05
43,L1-DCX-126AJ-SW01_VS50,B01_42,RITM0315096,DQVM1100_S1_P0,10:00:00:00:C9:76:89:9F,146AE_AIR/62AH_MDA,C_P07
44,L1-DCX-126AJ-SW01_VS50,B01_43,RITM0315096,DQVM1100_S1_P1,10:00:00:00:C9:76:89:9E,146AE_AIR/62AH_MDA,C_P08
45,L1-DCX-126AJ-SW01_VS50,B01_44,RITM0315096,DQAF6102_S1_P0,10:00:00:10:9B:56:64:39,146AE_AIR/62AH_MDA,C_P09
46,L1-DCX-126AJ-SW01_VS50,B01_45,RITM0315096,DQAF6102_S1_P1,10:00:00:10:9B:56:64:38,146AE_AIR/62AH_MDA,C_P10
47,L1-DCX-126AJ-SW01_VS50,B01_46,RITM0315096,DQAF6103_S5_P0,10:00:00:00:C9:FC:1A:3C,146AE_AIR/62AH_MDA,C_P11
48,L1-DCX-126AJ-SW01_VS50,B01_47,RITM0315096,DQAF6103_S5_P1,10:00:00:00:C9:FC:1A:3D,146AE_AIR/62AH_MDA,C_P12
49,L1-DCX-126AJ-SW01_VS50,B02_00,ISL,L1-8000-126AQ-SW44_FC_00,20:00:00:05:1E:E0:65:00,126AM_AIR/62AG_MDA,H_P01
50,L1-DCX-126AJ-SW01_VS50,B02_01,ISL,L1-8000-126AQ-SW44_FC_01,20:01:00:05:1E:E0:65:00,126AM_AIR/62AG_MDA,H_P02
51,L1-DCX-126AJ-SW01_VS50,B02_02,ISL,L1-8000-126AQ-SW44_FC_02,20:02:00:05:1E:E0:65:00,126AM_AIR/62AG_MDA,H_P03
52,L1-DCX-126AJ-SW01_VS50,B02_03,ISL,L1-8000-126AQ-SW44_FC_03,20:03:00:05:1E:E0:65:00,126AM_AIR/62AG_MDA,H_P04
53,L1-DCX-126AJ-SW01_VS50,B02_04,Online, ,50:00:09:73:98:09:CC:05, , 
54,L1-DCX-126AJ-SW01_VS50,B02_05,Online, ,50:00:09:73:A8:13:34:05, , 
55,L1-DCX-126AJ-SW01_VS50,B02_06,Reserved, ,, , 
56,L1-DCX-126AJ-SW01_VS50,B02_07,Reserved, ,, , 
57,L1-DCX-126AJ-SW01_VS50,B02_08,Online,OLHN1_01_05,50:00:09:73:98:09:CC:05,126AZ_AIR/62 AJ_MDA,A_P02
