ID,AirRackName,AirRackPort,SystemName,SystemPort,SystemLocation,MDAPanelName,MDAPort
1,126AE_AIR/62AG_MDA,B_P01,OFEN1,01_07,126Z,126AJ - SW01/62AF - SW01,B09_08
2,126AE_AIR/62AG_MDA,B_P02,OFEN1,02_07,126Z,126AJ - SW01/62AF - SW01,B09_09
3,126AE_AIR/62AG_MDA,B_P03,ODCN1,01_04,126AB,126AJ - SW01/62AF - SW01,B09_35
4,126AE_AIR/62AG_MDA,B_P04,ODCN1,02_07,126AB,126AJ - SW01/62AF - SW01,B09_37
5,126AE_AIR/62AG_MDA,B_P05,ODCN1,03_04,126AB,126AJ - SW01/62AF - SW01,B01_14
6,126AE_AIR/62AG_MDA,B_P06,ODCN1,04_07,126AB,126AJ - SW01/62AF - SW01,B10_09
7,126AE_AIR/62AG_MDA,B_P07,OFEN1,01_04,126Z,126AJ - SW01/62AF - SW01,B02_18
8,126AE_AIR/62AG_MDA,B_P08,OFEN1,01_05,126Z,126AJ - SW01/62AF - SW01,B02_19
9,126AE_AIR/62AG_MDA,B_P09,OFEN1,02_04,126Z,126AJ - SW01/62AF - SW01,B02_20
10,126AE_AIR/62AG_MDA,B_P10,OFEN1,02_05,126Z,126AJ - SW01/62AF - SW01,B02_21
11,126AE_AIR/62AG_MDA,B_P11,OFEN1,03_04,126Z,126AJ - SW01/62AF - SW01,B03_19
12,126AE_AIR/62AG_MDA,B_P12,OFEN1,03_05,126Z,126AJ - SW01/62AF - SW01,B03_20
13,126AE_AIR/62AG_MDA,C_P01,OFEN1,04_04,126Z,126AJ - SW01/62AF - SW01,B03_21
14,126AE_AIR/62AG_MDA,C_P02,OFEN1,04_05,126Z,126AJ - SW01/62AF - SW01,B03_22
15,126AE_AIR/62AG_MDA,C_P03,OFHN1,01_08,126AD,126AK - SW13/62AF - SW13,B01_04
16,126AE_AIR/62AG_MDA,C_P04,OFHN1,02_08,126AD,126AK - SW13/62AF - SW13,B01_05
17,126AE_AIR/62AG_MDA,C_P05,OFHN1,03_08,126AD,126AK - SW13/62AF - SW13,B02_04
18,126AE_AIR/62AG_MDA,C_P06,OFHN1,03_09,126AD,126AK - SW13/62AF - SW13,B02_05
19,126AE_AIR/62AG_MDA,C_P07,OFHN1,03_11,126AD,126AK - SW13/62AF - SW13,B03_04
20,126AE_AIR/62AG_MDA,C_P08,OFHN1,04_08,126AD,126AK - SW13/62AF - SW13,B03_05
21,126AE_AIR/62AG_MDA,C_P09,OFHN1,04_11,126AD,126AK - SW13/62AF - SW13,B04_04
22,126AE_AIR/62AG_MDA,C_P10,ODCN1,01_07,126AB,126AJ - SW01/62AF - SW01,B01_06
23,126AE_AIR/62AG_MDA,C_P11,ODCN1,03_07,126AB,126AJ - SW01/62AF - SW01,B01_07
24,126AE_AIR/62AG_MDA,C_P12,ODCN1,04_04,126AB,126AJ - SW01/62AF - SW01,B03_10
25,126AE_AIR/62AG_MDA,D_P01,OFEN1,01_29,126Z,126AK - SW14/62AK - SW14,B09_04
26,126AE_AIR/62AG_MDA,D_P02,OFEN1,03_29,126Z,126AK - SW14/62AK - SW14,B09_05
27,126AE_AIR/62AG_MDA,D_P03,OFEN1,01_28,126Z,126AK - SW14/62AK - SW14,B09_12
28,126AE_AIR/62AG_MDA,D_P04,OFEN1,01_30,126Z,126AK - SW14/62AK - SW14,B09_13
29,126AE_AIR/62AG_MDA,D_P05,OFEN1,01_31,126Z,126AK - SW14/62AK - SW14,B09_14
30,126AE_AIR/62AG_MDA,D_P06,OFEN1,02_28,126Z,126AK - SW14/62AK - SW14,B09_15
31,126AE_AIR/62AG_MDA,D_P07,OFEN1,02_29,126Z,126AK - SW14/62AK - SW14,B09_16
32,126AE_AIR/62AG_MDA,D_P08,OFEN1,02_30,126Z,126AK - SW14/62AK - SW14,B10_12
33,126AE_AIR/62AG_MDA,D_P09,OFEN1,02_31,126Z,126AK - SW14/62AK - SW14,B10_13
34,126AE_AIR/62AG_MDA,D_P10,OFEN1,03_28,126Z,126AK - SW14/62AK - SW14,B10_14
35,126AE_AIR/62AG_MDA,D_P11,OFEN1,03_30,126Z,126AK - SW14/62AK - SW14,B10_15
36,126AE_AIR/62AG_MDA,D_P12,OFEN1,03_31,126Z,126AK - SW14/62AK - SW14,B10_16
37,126AE_AIR/62AG_MDA,E_P01,,,,,
38,126AE_AIR/62AG_MDA,E_P02,,,,,
