ID,SwitchName,Port,Status,SystemName_Port,SystemWWN,AirRackName,AirRackPort
7,L1-DCX-126AJ-SW01_VS50,B01_06,RITM0399526,ODCN1_01_07,50:00:09:73:A0:05:E8:07,126AE_AIR/62AG_MDA,C_P10
8,L1-DCX-126AJ-SW01_VS50,B01_07,RITM0399526,ODCN1_03_07,50:00:09:73:A0:05:E8:87,126AE_AIR/62AG_MDA,C_P11
9,L1-DCX-126AJ-SW01_VS50,B01_08,RITM0399526,OLHN1_01_06,50:00:09:73:98:09:CC:06,126AZ_AIR/62 AJ_MDA,B_P09
10,L1-DCX-126AJ-SW01_VS50,B01_09,RITM0399526,OLHN1_01_07,50:00:09:73:98:09:CC:07,126AZ_AIR/62 AJ_MDA,B_P10
14,L1-DCX-126AJ-SW01_VS50,B01_13,RITM0486577,OWAN1_04_05,50:00:09:73:B0:01:44:C5,132AZ_AIR/62 AI_MDA,F_P01
15,L1-DCX-126AJ-SW01_VS50,B01_14,RITM0491449,ODCN1_03_04,50:00:09:73:A0:05:E8:84,126AE_AIR/62AG_MDA,B_P05
19,L1-DCX-126AJ-SW01_VS50,B01_18,RITM0399526,OLHN1_02_06,50:00:09:73:98:09:CC:46,126AZ_AIR/62 AJ_MDA,B_P11
20,L1-DCX-126AJ-SW01_VS50,B01_19,RITM0364698,DQAI055_S0_P1,21:00:00:24:FF:3E:93:BC,146AM_AIR/62AH_MDA,B_P05
21,L1-DCX-126AJ-SW01_VS50,B01_20,RITM0364698,DQAI055_S0_P2,21:00:00:24:FF:3E:93:BD,146AM_AIR/62AH_MDA,B_P06
22,L1-DCX-126AJ-SW01_VS50,B01_21,RITM0364698,DQAI055_S3_P1,21:00:00:24:FF:3E:93:7E,146AM_AIR/62AH_MDA,B_P07
23,L1-DCX-126AJ-SW01_VS50,B01_22,RITM0364698,DQAI055_S3_P2,21:00:00:24:FF:3E:93:7F,146AM_AIR/62AH_MDA,B_P08
37,L1-DCX-126AJ-SW01_VS50,B01_36,RITM0312525,DQAF0108_S4_P0,10:00:00:90:fa:53:fb:bc,146AE_AIR/62AH_MDA,C_P05
38,L1-DCX-126AJ-SW01_VS50,B01_37,RITM0312525,DQAF0108_S4_P1,10:00:00:90:fa:53:fb:bd,146AE_AIR/62AH_MDA,C_P06
43,L1-DCX-126AJ-SW01_VS50,B01_42,RITM0315096,DQVM1100_S1_P0,10:00:00:00:C9:76:89:9F,146AE_AIR/62AH_MDA,C_P07
44,L1-DCX-126AJ-SW01_VS50,B01_43,RITM0315096,DQVM1100_S1_P1,10:00:00:00:C9:76:89:9E,146AE_AIR/62AH_MDA,C_P08
45,L1-DCX-126AJ-SW01_VS50,B01_44,RITM0315096,DQAF6102_S1_P0,10:00:00:10:9B:56:64:39,146AE_AIR/62AH_MDA,C_P09
46,L1-DCX-126AJ-SW01_VS50,B01_45,RITM0315096,DQAF6102_S1_P1,10:00:00:10:9B:56:64:38,146AE_AIR/62AH_MDA,C_P10
47,L1-DCX-126AJ-SW01_VS50,B01_46,RITM0315096,DQAF6103_S5_P0,10:00:00:00:C9:FC:1A:3C,146AE_AIR/62AH_MDA,C_P11
48,L1-DCX-126AJ-SW01_VS50,B01_47,RITM0315096,DQAF6103_S5_P1,10:00:00:00:C9:FC:1A:3D,146AE_AIR/62AH_MDA,C_P12
67,L1-DCX-126AJ-SW01_VS50,B02_18,RITM0369229,OFEN1_01_04,50:00:09:73:A8:13:0C:04,126AE_AIR/62AG_MDA,B_P07
68,L1-DCX-126AJ-SW01_VS50,B02_19,RITM0369229,OFEN1_01_05,50:00:09:73:A8:13:0C:05,126AE_AIR/62AG_MDA,B_P08
69,L1-DCX-126AJ-SW01_VS50,B02_20,RITM0369229,OFEN1_02_04,50:00:09:73:A8:13:0C:44,126AE_AIR/62AG_MDA,B_P09
70,L1-DCX-126AJ-SW01_VS50,B02_21,RITM0369229,OFEN1_02_05,50:00:09:73:A8:13:0C:45,126AE_AIR/62AG_MDA,B_P10
85,L1-DCX-126AJ-SW01_VS50,B02_36,RITM0315096,DQAF2103_S2_P0,10:00:00:00:C9:A3:14:4C,142AZ_AIR/62 AI_MDA,D_P05
86,L1-DCX-126AJ-SW01_VS50,B02_37,RITM0315096,DQAF2103_S2_P1,10:00:00:00:C9:A3:14:4D,142AZ_AIR/62 AI_MDA,D_P06
107,L1-DCX-126AJ-SW01_VS50,B03_10,RITM0416548,ODCN1_04_04,50:00:09:73:A0:05:E8:C4,126AE_AIR/62AG_MDA,C_P12
116,L1-DCX-126AJ-SW01_VS50,B03_19,RITM0369229,OFEN1_03_04,50:00:09:73:A8:13:0C:84,126AE_AIR/62AG_MDA,B_P11
117,L1-DCX-126AJ-SW01_VS50,B03_20,RITM0369229,OFEN1_03_05,50:00:09:73:A8:13:0C:85,126AE_AIR/62AG_MDA,B_P12
118,L1-DCX-126AJ-SW01_VS50,B03_21,RITM0369229,OFEN1_04_04,50:00:09:73:A8:13:0C:C4,126AE_AIR/62AG_MDA,C_P01
119,L1-DCX-126AJ-SW01_VS50,B03_22,RITM0369229,OFEN1_04_05,50:00:09:73:A8:13:0C:C5,126AE_AIR/62AG_MDA,C_P02
135,L1-DCX-126AJ-SW01_VS50,B03_38,Open,,,,
137,L1-DCX-126AJ-SW01_VS50,B03_40,Open,,,,
149,L1-DCX-126AJ-SW01_VS50,B04_04,Open,,,,
150,L1-DCX-126AJ-SW01_VS50,B04_05,Open,,,,
152,L1-DCX-126AJ-SW01_VS50,B04_07,RITM0399526,OLHN1_02_07,50:00:09:73:98:09:CC:47,126AZ_AIR/62 AJ_MDA,B_P12
153,L1-DCX-126AJ-SW01_VS50,B04_08,RITM0399526,OKDN1_03G_P0,50:00:09:73:10:02:B5:88,126AZ_AIR/62 AJ_MDA,C_P11
154,L1-DCX-126AJ-SW01_VS50,B04_09,RITM0399526,OKDN1_04G_P0,50:00:09:73:10:02:B5:8C,126AZ_AIR/62 AJ_MDA,C_P12
164,L1-DCX-126AJ-SW01_VS50,B04_19,RITM0371843,DQAI121_S1_P0,10:00:00:90:FA:A0:2D:44,146AM_AIR/62AH_MDA,D_P09
165,L1-DCX-126AJ-SW01_VS50,B04_20,RITM0371843,DQAI121_S1_P1,10:00:00:90:FA:A0:2D:45,146AM_AIR/62AH_MDA,D_P10
166,L1-DCX-126AJ-SW01_VS50,B04_21,RITM0376251,DQAF1209_S3_P0,10:00:00:00:C9:93:56:60,146AE_AIR/62AH_MDA,J_P05
167,L1-DCX-126AJ-SW01_VS50,B04_22,RITM0376251,DQAF1209_S3_P1,10:00:00:00:C9:93:56:61,146AE_AIR/62AH_MDA,J_P06
171,L1-DCX-126AJ-SW01_VS50,B04_26,Open,,,,
183,L1-DCX-126AJ-SW01_VS50,B04_38,Open,,,,
185,L1-DCX-126AJ-SW01_VS50,B04_40,Open,,,,
201,L1-DCX-126AJ-SW01_VS50,B09_08,RITM0331123,OFEN1_01_07,50:00:09:73:A8:13:0C:07,126AE_AIR/62AG_MDA,B_P01
